class,speed_pct,col_index,channel,split,is_test_col5,rms,peak,crest_factor,line_fund_50Hz,sideband_low,sideband_high,sideband_energy,env_bpfo_h1,env_bpfo_h2,env_bpfo_h3,env_bpfo_sum,centroid_0-3k
healthy 1,100,0,2,train,False,20.143892288208008,43.47549819946289,2.158247153898394,1872551.75,0.0,799.5294189453125,3951558656.0,757.6573486328125,606.8711547851562,225.32398986816406,1589.8524932861328,314.675537109375
healthy 1,100,0,3,train,False,19.70566177368164,40.56077194213867,2.05833086997913,1823669.375,0.0,673.2529296875,3937927168.0,742.0713500976562,592.766357421875,160.9529571533203,1495.7906646728516,322.987548828125
healthy 1,100,7,1,val,False,20.339353561401367,40.023406982421875,1.967781663345171,1882962.875,0.0,743.6837158203125,3589799936.0,933.015380859375,812.4720458984375,174.88040161132812,1920.3678283691406,310.66424560546875
healthy 1,100,7,2,val,False,20.380966186523438,45.73249435424805,2.243882548830567,1876840.75,0.0,770.8951416015625,3440902144.0,803.7849731445312,774.561767578125,198.31341552734375,1776.66015625,311.07513427734375
healthy 1,100,7,3,val,False,20.003135681152344,41.167816162109375,2.0580681358321775,1834513.5,0.0,607.55810546875,3545759744.0,993.1666870117188,706.5699462890625,173.18441772460938,1872.9210510253906,315.0303649902344
healthy 1,100,9,1,test,False,20.25300407409668,43.17904281616211,2.131982132536348,1853743.25,0.0,656.3546142578125,3309305856.0,672.551513671875,685.7394409179688,196.6435089111328,1554.9344635009766,321.65155029296875
healthy 1,100,9,2,test,False,20.37152099609375,43.40374755859375,2.130609077589951,1870544.375,0.0,899.174560546875,3669491712.0,920.949462890625,712.627685546875,208.21316528320312,1841.7903137207031,319.5361633300781
healthy 1,100,9,3,test,False,20.12621307373047,40.05219268798828,1.9900511110191914,1852259.0,0.0,662.3343505859375,3438804992.0,640.1405639648438,783.4431762695312,201.12918090820312,1624.7129211425781,323.452880859375
healthy 1,100,14,1,test,False,18.981945037841797,45.72370910644531,2.40879999469441,1888405.625,0.0,518.51123046875,22551199744.0,612.6945190429688,747.0767822265625,249.38479614257812,1609.1560974121094,236.48289489746094
healthy 1,100,14,2,test,False,19.04368782043457,44.5341911315918,2.3385276817971494,1893795.0,0.0,531.72509765625,22245539840.0,590.8302001953125,572.111572265625,288.4007263183594,1451.3424987792969,232.2950439453125
healthy 1,100,14,3,test,False,18.888898849487305,33.27712631225586,1.7617292875257962,1881611.0,0.0,449.591796875,21320695808.0,713.9378662109375,668.51318359375,227.12522888183594,1609.5762786865234,239.36204528808594
healthy 1,100,16,1,test,False,20.30436897277832,40.83536911010742,2.011161694552173,1890216.625,0.0,542.8032836914062,3657957376.0,803.8867797851562,663.8001708984375,172.59315490722656,1640.2801055908203,296.1358337402344
healthy 1,100,16,2,test,False,20.307430267333984,40.494754791259766,1.9940856257129,1885358.625,0.0,613.4237670898438,3999268864.0,771.82080078125,766.6302490234375,177.2016143798828,1715.6526641845703,309.7342224121094
healthy 1,100,16,3,test,False,20.173851013183594,40.092613220214844,1.987355472884794,1873632.5,0.0,772.1505737304688,4261412864.0,983.5831298828125,609.8223876953125,239.2271728515625,1832.6326904296875,310.5478210449219
