"representation","class","speed_pct","gallery_path","source"
"dwt","bearing_bpfo_3","50","sample_gallery/dwt/bearing_bpfo_3_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\bearing_bpfo_3\speed_50\col04_seg000.png"
"dwt","bearing_bpfo_3","75","sample_gallery/dwt/bearing_bpfo_3_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\bearing_bpfo_3\speed_75\col06_seg000.png"
"dwt","bearing_bpfo_3","100","sample_gallery/dwt/bearing_bpfo_3_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\bearing_bpfo_3\speed_100\col05_seg000.png"
"dwt","broken_rotor_bar","50","sample_gallery/dwt/broken_rotor_bar_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\broken_rotor_bar\speed_50\col03_seg000.png"
"dwt","broken_rotor_bar","75","sample_gallery/dwt/broken_rotor_bar_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\broken_rotor_bar\speed_75\col02_seg000.png"
"dwt","broken_rotor_bar","100","sample_gallery/dwt/broken_rotor_bar_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\broken_rotor_bar\speed_100\col00_seg000.png"
"envelope","healthy_1","50","sample_gallery/envelope/healthy_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\healthy_1\speed_50\col02_seg000.png"
"envelope","healthy_1","75","sample_gallery/envelope/healthy_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\healthy_1\speed_75\col09_seg000.png"
"envelope","healthy_1","100","sample_gallery/envelope/healthy_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\healthy_1\speed_100\col09_seg000.png"
"envelope","stator_short_1","50","sample_gallery/envelope/stator_short_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\stator_short_1\speed_50\col03_seg000.png"
"envelope","stator_short_1","75","sample_gallery/envelope/stator_short_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\stator_short_1\speed_75\col04_seg000.png"
"envelope","stator_short_1","100","sample_gallery/envelope/stator_short_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\stator_short_1\speed_100\col02_seg000.png"
"envelope","bearing_bpfo_3","50","sample_gallery/envelope/bearing_bpfo_3_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\bearing_bpfo_3\speed_50\col04_seg000.png"
"envelope","bearing_bpfo_3","75","sample_gallery/envelope/bearing_bpfo_3_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\bearing_bpfo_3\speed_75\col06_seg000.png"
"envelope","bearing_bpfo_3","100","sample_gallery/envelope/bearing_bpfo_3_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\bearing_bpfo_3\speed_100\col05_seg000.png"
"envelope","broken_rotor_bar","50","sample_gallery/envelope/broken_rotor_bar_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\broken_rotor_bar\speed_50\col03_seg000.png"
"envelope","broken_rotor_bar","75","sample_gallery/envelope/broken_rotor_bar_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\broken_rotor_bar\speed_75\col02_seg000.png"
"envelope","broken_rotor_bar","100","sample_gallery/envelope/broken_rotor_bar_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\envelope\images\test\broken_rotor_bar\speed_100\col00_seg000.png"
"clarke","healthy_1","50","sample_gallery/clarke/healthy_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\healthy_1\speed_50\col02_seg000.png"
"clarke","healthy_1","75","sample_gallery/clarke/healthy_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\healthy_1\speed_75\col09_seg000.png"
"clarke","healthy_1","100","sample_gallery/clarke/healthy_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\healthy_1\speed_100\col09_seg000.png"
"clarke","stator_short_1","50","sample_gallery/clarke/stator_short_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\stator_short_1\speed_50\col03_seg000.png"
"clarke","stator_short_1","75","sample_gallery/clarke/stator_short_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\stator_short_1\speed_75\col04_seg000.png"
"clarke","stator_short_1","100","sample_gallery/clarke/stator_short_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\stator_short_1\speed_100\col02_seg000.png"
"clarke","bearing_bpfo_3","50","sample_gallery/clarke/bearing_bpfo_3_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\bearing_bpfo_3\speed_50\col04_seg000.png"
"clarke","bearing_bpfo_3","75","sample_gallery/clarke/bearing_bpfo_3_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\bearing_bpfo_3\speed_75\col06_seg000.png"
"clarke","bearing_bpfo_3","100","sample_gallery/clarke/bearing_bpfo_3_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\bearing_bpfo_3\speed_100\col05_seg000.png"
"clarke","broken_rotor_bar","50","sample_gallery/clarke/broken_rotor_bar_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\broken_rotor_bar\speed_50\col03_seg000.png"
"clarke","broken_rotor_bar","75","sample_gallery/clarke/broken_rotor_bar_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\broken_rotor_bar\speed_75\col02_seg000.png"
"clarke","broken_rotor_bar","100","sample_gallery/clarke/broken_rotor_bar_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\clarke_images\test\broken_rotor_bar\speed_100\col00_seg000.png"
